Types of Transaction,Month,Year,Volume,Amount,Type of Transaction,,,,
MegaLink,Mar,2016,328.00,10327153316.68,BSP,,,,
MegaLink,Apr,2016,331.00,10524172722.00,BSP,,,,
MegaLink,May,2016,330.00,17491995825.16,BSP,,,,
MegaLink,Jun,2016,362.00,11318043974.70,BSP,,,,
MegaLink,Jul,2016,340.00,11335396770.98,BSP,,,,
MegaLink,Aug,2016,388.00,13263000080.19,BSP,,,,
MegaLink,Sep,2016,239.00,12250253757.21,BSP,,,,
MegaLink,Oct,2016,213.00,12158009079.38,BSP,,,,
MegaLink,Nov,2016,111.00,9105920847.28,BSP,,,,
MegaLink,Dec,2016,35.00,6258797.55,BSP,,,,
MegaLink,Jan,2017,0.00,0.00,BSP,,,,
MegaLink,Feb,2017,0.00,0.00,BSP,,,,
MegaLink,Mar,2017,0.00,0.00,BSP,,,,
MegaLink,Apr,2017,0.00,0.00,BSP,,,,
MegaLink,May,2017,0.00,0.00,BSP,,,,
MegaLink,Jun,2017,0.00,0.00,BSP,,,,
MegaLink,Jul,2017,0.00,0.00,BSP,,,,
MegaLink,Aug,2017,0.00,0.00,BSP,,,,
MegaLink,Sep,2017,0.00,0.00,BSP,,,,
MegaLink,Oct,2017,0.00,0.00,BSP,,,,
MegaLink,Nov,2017,0.00,0.00,BSP,,,,
MegaLink,Dec,2017,0.00,0.00,BSP,,,,
MegaLink,Jan,2018,0.00,0.00,BSP,,,,
MegaLink,Feb,2018,0.00,0.00,BSP,,,,
MegaLink,Mar,2018,0.00,0.00,BSP,,,,
MegaLink,Apr,2018,0.00,0.00,BSP,,,,
MegaLink,May,2018,0.00,0.00,BSP,,,,
MegaLink,Jun,2018,0.00,0.00,BSP,,,,
MegaLink,Jul,2018,0.00,0.00,BSP,,,,
MegaLink,Aug,2018,0.00,0.00,BSP,,,,
MegaLink,Sep,2018,0.00,0.00,BSP,,,,
MegaLink,Oct,2018,0.00,0.00,BSP,,,,
MegaLink,Nov,2018,0.00,0.00,BSP,,,,
MegaLink,Dec,2018,0.00,0.00,BSP,,,,
MegaLink,Jan,2019,0.00,0.00,BSP,,,,
MegaLink,Feb,2019,0.00,0.00,BSP,,,,
MegaLink,Mar,2019,0.00,0.00,BSP,,,,
MegaLink,Apr,2019,0.00,0.00,BSP,,,,
MegaLink,May,2019,0.00,0.00,BSP,,,,
BancNet,Jan,2016,2324.00,37127968533.03,BSP,,,,
BancNet,Feb,2016,2220.00,34388485394.94,BSP,,,,
BancNet,Mar,2016,2436.00,37922142335.69,BSP,,,,
BancNet,Apr,2016,2437.00,33794642055.70,BSP,,,,
BancNet,May,2016,2435.00,59640115874.75,BSP,,,,
BancNet,Jun,2016,2552.00,37372195655.65,BSP,,,,
BancNet,Jul,2016,2295.00,36771285193.74,BSP,,,,
BancNet,Aug,2016,2508.00,40000401855.89,BSP,,,,
BancNet,Sep,2016,2459.00,38957501392.54,BSP,,,,
BancNet,Oct,2016,2400.00,36337874483.23,BSP,,,,
BancNet,Nov,2016,2434.00,80069982309.90,BSP,,,,
BancNet,Dec,2016,2472.00,85831090001.99,BSP,,,,
BancNet,Jan,2017,2590.00,82323589353.36,BSP,,,,
BancNet,Feb,2017,2501.00,63316058844.48,BSP,,,,
BancNet,Mar,2017,2872.00,69035461919.84,BSP,,,,
BancNet,Apr,2017,2115.00,53140862499.26,BSP,,,,
